state,fips,population
47,47153,14710
47,47155,94537
47,47157,936990
47,47159,19176
47,47161,13257
47,47163,156644
47,47165,172786
47,47167,61558
47,47169,7970
47,47171,17945
47,47173,19081
47,47175,5641
47,47177,40099
47,47179,126044
47,47181,16842
47,47183,34024
47,47185,26373
47,47187,205645
47,47189,125616
48,48001,57772
48,48003,17215
48,48005,87657
48,48007,24729
48,48009,8750
42,42027,159178
42,42029,512028
42,42031,38939
42,42033,81170
42,42035,39536
42,42037,66772
42,42039,87027
42,42041,243838
42,42043,271962
42,42045,562316
42,42047,31111
42,42049,279133
42,42051,134229
42,42053,7493
42,42055,152707
42,42057,14653
42,42059,37669
42,42061,45844
42,42063,87491
42,42065,44575
42,42067,24811
42,42069,213006
42,42071,533110
42,42073,88528
42,42075,136950
42,42077,358792
42,42079,318917
42,42081,116313
42,42083,42609
42,42085,114598
42,42087,46585
42,42089,167126
42,42091,815876
42,42093,18404
42,42095,300520
42,42097,93590
42,42099,45647
42,42101,1559938
42,42103,56210
42,42105,17239
42,42107,145503
42,42109,40246
42,42111,76201
42,42113,6302
42,42115,41832
42,42117,42031
42,42119,45178
42,42121,53460
42,42123,40649
42,42125,208269
42,42127,51307
42,42129,359377
42,42131,27975
42,42133,440604
44,44001,49228
44,44003,164886
44,44005,82714
44,44007,631344
44,44009,126319
45,45001,24951
45,45003,165146
45,45005,9589
45,45007,192709
45,45009,15057
45,45011,21917
45,45013,175316
45,45015,199081
45,45017,14886
45,45019,380673
45,45021,56274
45,45023,32435
45,45025,46083
45,45027,34056
45,45029,37884
45,45031,67689
45,45033,31273
45,45035,148517
45,45037,26388
45,45039,23025
45,45041,138575
45,45043,60804
45,45045,482191
45,45047,69881
45,45049,20296
45,45051,300418
45,45053,27186
45,45055,63090
45,45057,83704
45,45059,66442
45,45061,18189
45,45063,277702
45,45065,9806
45,45067,31975
45,45069,27702
45,45071,37750
45,45073,75375
45,45075,89731
45,45077,120722
45,45079,401743
45,45081,20113
45,45083,294229
45,45085,107682
45,45087,27928
45,45089,32816
45,45091,245606
46,46005,18155
46,46009,7001
46,46011,33435
46,46013,38430
46,46015,5312
46,46019,10268
46,46023,9277
46,46027,14029
46,46029,27886
46,46033,8447
46,46035,19824
46,46037,5588
46,46041,5652
46,46047,6874
46,46051,7195
46,46057,5995
46,46065,17518
46,46067,7264
46,46077,5070
46,46079,12331
46,46081,24859
46,46083,51396
46,46087,5616
46,46093,26840
46,46099,182014
46,46101,6445
46,46103,107298
46,46109,10294
46,46115,6539
46,46121,10019
46,46123,5475
46,46125,8289
46,46127,14842
46,46129,5538
46,46135,22649
47,47001,75545
47,47003,46331
47,47005,16173
47,47007,14073
47,47009,126192
47,47011,102860
47,47013,40008
47,47015,13855
47,47017,28417
47,47019,56707
47,47021,39575
47,47023,17355
47,47025,31701
47,47027,7769
47,47029,35256
47,47031,53808
47,47033,14558
35,35001,674777
35,35005,65610
35,35006,27373
35,35007,12716
35,35009,50544
35,35013,213825
35,35015,56369
35,35017,28879
35,35025,68930
35,35027,19726
35,35028,17895
35,35029,24627
35,35031,74346
35,35035,65333
35,35037,8555
35,35039,39924
35,35041,19618
35,35043,138117
35,35045,122537
35,35047,28350
35,35049,147320
35,35051,11442
35,35053,17324
35,35055,32961
35,35057,15599
35,35061,75993
36,36001,307891
36,36003,47700
36,36005,1436785
36,36007,197381
36,36009,78506
36,36011,78783
36,36013,131748
36,36015,87742
36,36017,49286
36,36019,81505
36,36021,61860
36,36023,48713
36,36025,46480
36,36027,295905
36,36029,922129
36,36031,38598
36,36033,51007
36,36035,54297
36,36037,59053
36,36039,48069
36,36043,63558
36,36045,117966
36,36047,2606852
36,36049,27107
36,36051,64622
36,36053,72089
36,36055,749236
36,36057,49667
36,36059,1356801
36,36061,1634989
36,36063,213374
36,36065,232858
36,36067,468050
36,36069,109450
36,36071,376242
36,36073,41938
36,36075,120513
36,36077,60979
36,36079,99408
36,36081,2310011
36,36083,159959
36,36085,473324
36,36087,322642
36,36089,111529
36,36091,224929
36,36093,154845
36,36095,31667
36,36097,18336
36,36099,35036
36,36101,98151
36,36103,1498130
36,36105,75818
36,36107,49649
36,36109,104268
36,36111,180505
36,36113,64911
48,48227,36423
48,48231,89068
48,48233,21782
48,48237,8866
48,48239,14678
48,48241,35640
48,48245,252993
48,48247,5218
48,48249,41486
48,48251,157544
48,48253,19944
48,48255,14984
48,48257,111830
48,48259,39010
48,48265,50505
48,48273,31877
48,48277,49626
48,48279,13561
48,48281,20357
48,48283,7319
48,48285,19654
48,48287,16754
48,48289,16923
48,48291,78598
48,48293,23469
48,48297,11976
48,48299,19624
48,48303,294682
48,48305,5723
48,48307,8242
48,48309,243394
48,48313,13843
48,48315,10191
48,48317,5451
48,48321,36719
48,48323,56830
48,48325,47920
48,48329,155817
48,48331,24372
48,48335,8995
48,48337,19384
48,48339,518849
48,48341,22186
48,48343,12653
48,48347,65556
48,48349,48177
48,48351,14138
48,48353,15017
48,48355,355667
48,48357,10577
48,48361,83751
48,48363,27922
48,48365,23771
48,48367,123601
48,48369,9921
48,48371,15826
48,48373,46583
48,48375,121883
48,48377,7144
48,48379,11087
48,48381,128603
48,48387,12455
48,48389,14438
48,48391,7315
48,48395,16537
48,48397,88010
48,48399,10411
48,48401,53197
48,48403,10367
48,48405,8556
48,48407,27172
48,48409,66706
48,48411,5881
48,48415,17314
48,48419,25705
48,48423,219745
48,48425,8673
48,48427,63008
48,48429,9787
48,48437,7639
48,48439,1947529
48,48441,135234
48,48445,12724
48,48449,32592
48,48451,116264
48,48453,1148176
48,48455,14360
48,48457,21371
48,48459,40295
48,48463,27055
48,48465,48862
48,48467,53070
48,48469,90989
48,48471,69926
48,48473,47049
48,48475,11396
48,48477,34544
48,48479,266006
48,48481,41377
48,48483,5642
48,48485,132148
48,48487,13061
48,48489,21944
48,48491,490619
48,48493,46444
48,48495,7723
48,48497,62089
48,48499,43198
48,48501,8316
48,48503,18275
48,48505,14335
48,48507,12107
49,49001,6437
49,49003,51528
49,49005,118824
49,49007,20733
49,49011,329292
49,49013,20078
49,49015,10570
49,49017,5020
49,49019,9428
49,49021,47751
49,49023,10507
49,49025,7216
49,49027,12604
49,49029,10645
49,49035,1092518
49,49037,15540
49,49039,28551
49,49041,20913
49,49043,39009
49,49045,61986
49,49047,36308
49,49049,564177
49,49051,27895
49,49053,151959
49,49057,241328
50,50001,36926
50,50003,36503
50,50005,30859
50,50007,160510
50,50009,6173
50,50011,48625
50,50013,6945
50,50015,25136
50,50017,28897
50,50019,27076
50,50021,60133
50,50023,58963
50,50025,43609
50,50027,55894
51,51001,33060
51,51003,104287
51,51005,15919
51,51007,12793
51,51009,31999
51,51011,15314
51,51013,226092
51,51015,74330
51,51019,76933
51,51021,6612
51,51023,33192
51,51025,16573
51,51027,23158
51,51029,17030
51,51031,55061
51,51033,29640
51,51035,29733
51,51036,7086
51,51037,12232
51,51041,331839
51,51043,14307
51,51045,5195
51,51047,48952
51,51049,9769
51,51051,15304
51,51053,28155
51,51057,11130
51,51059,1132887
51,51061,68025
51,51063,15587
51,51065,26046
51,51067,56230
51,51069,82321
51,51071,16871
51,51073,37021
51,51075,21979
51,51077,15180
51,51079,19085
51,51081,11698
51,51083,35305
51,51085,102199
51,51087,321921
51,51089,52209
51,51093,36027
51,51095,71900
51,51097,7140
51,51099,25260
51,51101,16156
51,51103,11055
51,51105,24911
51,51107,362435
51,51109,34350
51,51111,12450
51,51113,13122
51,51115,8848
51,51117,31209
51,51119,10728
51,51121,97227
51,51125,14831
51,51127,20051
51,51131,12118
51,51133,12272
51,51135,15641
51,51137,34873
51,51139,23759
51,51141,18180
51,51143,62392
51,51145,28286
51,51147,23077
51,51149,37664
51,51153,443630
51,51155,34417
51,51157,7416
51,51159,8868
51,51161,93655
51,51163,22450
51,51165,78427
51,51167,27973
51,51169,22378
51,51171,42857
51,51173,31513
51,51175,18291
51,51177,129181
51,51179,139548
51,51181,6731
51,51183,11733
51,51185,43367
51,51187,38807
51,51191,54562
51,51193,17528
51,51195,40074
51,51197,29171
51,51199,66919
51,51510,151473
51,51520,17340
51,51530,6610
51,51540,45538
51,51550,233194
51,51570,17554
51,51580,5650
51,51590,42360
55,55087,181799
55,55089,87625
55,55091,7349
55,55093,40881
55,55095,43483
55,55097,70551
55,55099,13707
55,55101,194873
55,55103,17642
55,55105,160986
55,55107,14272
55,55109,86726
55,55111,63317
55,55113,16438
55,55115,41384
55,55117,115269
55,55119,20521
55,55121,29521
55,55123,30442
55,55125,21373
55,55127,103021
55,55129,15685
55,55131,133422
55,55133,395377
55,55135,51974
55,55137,24238
55,55139,169487
55,55141,73621
56,56001,37836
56,56003,11931
56,56005,48473
56,56007,15696
56,56009,14223
56,56011,7284
56,56013,40683
56,56015,13546
56,56019,8572
56,56021,96459
56,56023,18543
56,56025,80871
56,56029,29083
56,56031,8740
56,56033,29924
56,56035,10032
56,56037,44812
56,56039,22623
56,56041,20893
56,56043,8351
56,56045,7175
72,72001,18760
72,72003,40083
72,72005,56893
72,72007,27323
72,72009,24438
72,72011,28250
